Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,ATC CODE,Codice Gruppo Equivalenza,Class,4.1 Therapeutic indications,4.2 Posology and method of administration,4.3 Contraindications,4.4 Special warnings and precautions for use,4.5 Interactions with other medicinal products,"4.6 Fertility, pregnancy and lactation",4.7 Effects on ability to drive and use machines,4.8 Undesirable effects (side effects),4.9 Overdose,6.2 Incompatibilities
"Octocog alfa (Fattore VIII di coagulazione, ricombinante)",OCTOCOG ALFA III GENERAZIONE 500UI 1 UNITA' USO PARENTERALE,ADVATE*1 flaconcino EV 500 Unita' Internazionali + 1 flaconcino solv 2 ml preassemblati con dispositivo per ricostituzione,TAKEDA MANUFACTURING AUS. AG,36160188,,LMN,A,Trattamento e profilassi di episodi emorragici in pazienti affetti da emofilia A (deficit congenito di fattore VIII). ADVATE è indicato in tutte le fasce di età.,Il trattamento deve essere iniziato sotto il controllo di un medico specializzato nel trattamento dellemofilia e con un supporto di rianimazione immediatamente disponibile in caso di anafilassi.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1 o alle proteine murine o di criceto,"Al fine di migliorare la tracciabilità dei medicinali biologici, il nome e il numero di lotto del medicinale somministrato devono essere chiaramente registrati",Non sono stati effettuati studi dinterazione con ADVATE,Non sono stati condotti studi sulla riproduzione animale con fattore VIII.,ADVATE non altera la capacità di guidare veicoli e di usare macchinari.,"Negli studi clinici con ADVATE sono stati inclusi 418 soggetti con almeno una esposizione ad ADVATE, per una segnalazione totale di 93 reazioni avverse da farmaco (ADR)",Non sono stati riportati casi di sovradosaggio con il fattore VIII della coagulazione ricombinante.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali o solventi."
"Octocog alfa (Fattore VIII di coagulazione, ricombinante)",OCTOCOG ALFA III GENERAZIONE 2.000UI 5ML 1 UNITA' USO PARENTERALE,ADVATE*1 flaconcino EV 2.000 Unita' Internazionali + 1 flaconcino solv 5 ml preassemblati con dispositivo per ricostituzione,TAKEDA MANUFACTURING AUS. AG,36160152,,LMO,A,Trattamento e profilassi di episodi emorragici in pazienti affetti da emofilia A (deficit congenito di fattore VIII). ADVATE è indicato in tutte le fasce di età.,Il trattamento deve essere iniziato sotto il controllo di un medico specializzato nel trattamento dellemofilia e con un supporto di rianimazione immediatamente disponibile in caso di anafilassi.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1 o alle proteine murine o di criceto,"Al fine di migliorare la tracciabilità dei medicinali biologici, il nome e il numero di lotto del medicinale somministrato devono essere chiaramente registrati",Non sono stati effettuati studi dinterazione con ADVATE,Non sono stati condotti studi sulla riproduzione animale con fattore VIII.,ADVATE non altera la capacità di guidare veicoli e di usare macchinari.,"Negli studi clinici con ADVATE sono stati inclusi 418 soggetti con almeno una esposizione ad ADVATE, per una segnalazione totale di 93 reazioni avverse da farmaco (ADR)",Non sono stati riportati casi di sovradosaggio con il fattore VIII della coagulazione ricombinante.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali o solventi."
"Octocog alfa (Fattore VIII di coagulazione, ricombinante)",OCTOCOG ALFA III GENERAZIONE 3.000UI 5ML 1 UNITA' USO PARENTERALE,ADVATE*1 flaconcino EV 3.000 Unita' Internazionali + 1 flaconcino solv 5 ml preassemblati con dispositivo per ricostituzione,TAKEDA MANUFACTURING AUS. AG,36160164,,LMP,A,Trattamento e profilassi di episodi emorragici in pazienti affetti da emofilia A (deficit congenito di fattore VIII). ADVATE è indicato in tutte le fasce di età.,Il trattamento deve essere iniziato sotto il controllo di un medico specializzato nel trattamento dellemofilia e con un supporto di rianimazione immediatamente disponibile in caso di anafilassi.,Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1 o alle proteine murine o di criceto,"Al fine di migliorare la tracciabilità dei medicinali biologici, il nome e il numero di lotto del medicinale somministrato devono essere chiaramente registrati",Non sono stati effettuati studi dinterazione con ADVATE,Non sono stati condotti studi sulla riproduzione animale con fattore VIII.,ADVATE non altera la capacità di guidare veicoli e di usare macchinari.,"Negli studi clinici con ADVATE sono stati inclusi 418 soggetti con almeno una esposizione ad ADVATE, per una segnalazione totale di 93 reazioni avverse da farmaco (ADR)",Non sono stati riportati casi di sovradosaggio con il fattore VIII della coagulazione ricombinante.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali o solventi."
"Octocog alfa (Fattore VIII di coagulazione, ricombinante)",OCTOCOG ALFA I GENERAZIONE 250UI 1 UNITA' USO PARENTERALE,RECOMBINATE*1 flacone EV 250 Unita' Internazionali + 1 flacone solv 10 ml,BAXALTA INNOVATIONS GMBH,28687010,,LMQ,A,Trattamento e profilassi delle emorragie in pazienti con emofilia A (deficienza congenita di Fattore VIII).,Il trattamento deve essere supervisionato da un medico con esperienza nel trattamento dellemofilia,"Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1. Nota reazione allergica alle proteine bovine, murine o di criceto.","Tracciabilità,Ipersensibilità,Inibitori,Eventi cardiovascolari,Complicanze correlate al catetere,Popolazione pediatrica",Non sono stati effettuati studi di interazione.,Non sono stati eseguiti studi sulla riproduzione animale con fattore VIII.,Non sono stati osservati effetti sulla capacità di guidare veicoli o di usare macchinari,La tabella successiva elenca le reazioni avverse segnalate da rapporti spontanei e da studi clinici.,Non sono noti sintomi da sovradosaggio.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali."
"Octocog alfa (Fattore VIII di coagulazione, ricombinante)",OCTOCOG ALFA I GENERAZIONE 500UI 1 UNITA' USO PARENTERALE,RECOMBINATE*1 flacone EV 500 Unita' Internazionali + 1 flacone solv 10 ml,BAXALTA INNOVATIONS GMBH,28687022,,LMR,A,Trattamento e profilassi delle emorragie in pazienti con emofilia A (deficienza congenita di Fattore VIII).,Il trattamento deve essere supervisionato da un medico con esperienza nel trattamento dellemofilia,"Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1. Nota reazione allergica alle proteine bovine, murine o di criceto.","Tracciabilità,Ipersensibilità,Inibitori,Eventi cardiovascolari,Complicanze correlate al catetere,Popolazione pediatrica",Non sono stati effettuati studi di interazione.,Non sono stati eseguiti studi sulla riproduzione animale con fattore VIII.,Non sono stati osservati effetti sulla capacità di guidare veicoli o di usare macchinari,La tabella successiva elenca le reazioni avverse segnalate da rapporti spontanei e da studi clinici.,Non sono noti sintomi da sovradosaggio.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali."
"Octocog alfa (Fattore VIII di coagulazione, ricombinante)",OCTOCOG ALFA I GENERAZIONE 1.000UI 1 UNITA' USO PARENTERALE,RECOMBINATE*1 flacone EV 1.000 Unita' Internazionali + 1 flacone solv 10 ml,BAXALTA INNOVATIONS GMBH,28687034,,LMS,A,Trattamento e profilassi delle emorragie in pazienti con emofilia A (deficienza congenita di Fattore VIII).,Il trattamento deve essere supervisionato da un medico con esperienza nel trattamento dellemofilia,"Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1. Nota reazione allergica alle proteine bovine, murine o di criceto.","Tracciabilità,Ipersensibilità,Inibitori,Eventi cardiovascolari,Complicanze correlate al catetere,Popolazione pediatrica",Non sono stati effettuati studi di interazione.,Non sono stati eseguiti studi sulla riproduzione animale con fattore VIII.,Non sono stati osservati effetti sulla capacità di guidare veicoli o di usare macchinari,La tabella successiva elenca le reazioni avverse segnalate da rapporti spontanei e da studi clinici.,Non sono noti sintomi da sovradosaggio.,"In assenza di studi di compatibilità, questo medicinale non deve essere miscelato con altri medicinali."
Octreotide,OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE,TREOJECT*5 siringhe EV SC 1 ml 100 mcg/ml,LIFEPHARMA SpA,39100045,,E2A,A,"Controllo dei sintomi e riduzione di GH e IGF-1 in pazienti acromegalici non adeguatamente controllati con chirurgia o radioterapia, o in attesa dellefficacia della radioterapia","Iniziare con Treoject 0,05  0,1 mg ogni 8 o 12 ore per via sottocutanea.",Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1,"Poiché i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento,monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti, o agenti per il controllo del bilancio idro-elettrico quando Treoject è somministrato contemporaneamente",I dati relative alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Treoject non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse al farmaco più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.","Casi limitati di sovradosaggio con octreotide hanno riportato effetti avversi come aritmia, ipotensione, arresto cardiaco, ipossia cerebrale, pancreatite, epatite e altri disturbi metabolici e gastrointestinali",Questo medicinale non deve essere miscelato con altri prodotti ad eccezione di quelli menzionati nel paragrafo 6.6.
Octreotide,OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE,SIROCTID*5 siringhe 1 ml 100 mcg/ml,CHEMI SpA,39101047,,E2A,A,Controllo sintomatico e riduzione dei livelli plasmatici dellormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgia o radioterapia.,"Iniziare con Siroctid 0,05  0,1 mg ogni 8 o 12 ore per via sottocutanea.",Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Generali Poichè i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti, o agenti per il controllo del bilancio idro-elettrico quando Treoject è somministrato contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Siroctid non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.","E stato riportato un numero limitato di casi di sovradosaggio accidentale di Siroctid in adulti e bambini. Negli adulti, le dosi variavano da 2400 a 6000 microgrami/die somministrati per infusione continua (100-250 microgrammi/ora) o per via sottocutanea (1500 microgrammi tre volte al giorno)",Questo medicinale non deve essere miscelato con altri prodotti ad eccezione di quelli menzionati nel paragrafo 6.6.
Octreotide,OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE,"OCTREOTIDE*5 fiale EV SC 0,1 mg/1 ml",SUN PHARMACEUTICAL IND.EU.B.V.,41156023,,E2A,A,Controllo sintomatico e riduzione dei livelli plasmatici dellormone della crescita (GH) e IGF-1 in pazienti con acromegalia non adeguatamente controllati con terapia chirurgia o radioterapia.,"Iniziare con Siroctid 0,05  0,1 mg ogni 8 o 12 ore per via sottocutanea.",Ipersensibilità al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Generali Poichè i tumori ipofisari GH-secernenti possono talvolta espandersi causando serie complicazioni (ad esempio alterazioni del campo visivo), è essenziale un attento monitoraggio di tutti i pazienti.","Può essere necessario un aggiustamento del dosaggio di farmaci quali beta-bloccanti, calcio antagonisti, o agenti per il controllo del bilancio idro-elettrico quando Treoject è somministrato contemporaneamente",I dati relativi alluso di octreotide in donne in gravidanza sono in numero limitato (meno di 300 gravidanze esposte) e in circa un terzo dei casi i risultati della gravidanza sono sconosciuti.,Siroctid non altera o altera in modo trascurabile la capacità di guidare veicoli o di usare macchinari.,"Le reazioni avverse più frequentemente riportate durante la terapia con octreotide comprendono disturbi gastrointestinali, disturbi del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e della nutrizione.","E stato riportato un numero limitato di casi di sovradosaggio accidentale di Siroctid in adulti e bambini. Negli adulti, le dosi variavano da 2400 a 6000 microgrami/die somministrati per infusione continua (100-250 microgrammi/ora) o per via sottocutanea (1500 microgrammi tre volte al giorno)",Questo medicinale non deve essere miscelato con altri prodotti ad eccezione di quelli menzionati nel paragrafo 6.6.
Octreotide,OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE,TREOJECT*5 siringhe EV SC 1 ml 50 mcg/ml,LIFEPHARMA SpA,39100019,,E2B,A,Controllo sintomatico e riduzione dei livelli plasmatici di ormone della crescita (GH) e di IGF-1 in pazienti con acromegalia non adeguatamente controllata mediante chirurgia o radioterapia.,"Dose iniziale: 0,05 - 0,1 mg per iniezione sottocutanea (s.c.) ogni 8 o 12 ore. Laggiustamento del dosaggio deve basarsi sulla valutazione mensile dei livelli di GH e IGF-1 (target: GH",Ipersensibilità nota al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1.,"Talvolta i tumori dellipofisi secernenti lormone della crescita (GH) possono espandersi causando gravi complicanze (ad es. difetti del campo visivo), è quindi essenziale monitorare attentamente tutti i pazienti. In caso di evidente espansione del tumore, ricorrere a procedure alternative.","In caso di somministrazione concomitante di octreotide possono rendersi necessari aggiustamenti della dose di medicinali quali beta bloccanti, bloccanti dei canali del calcio o agenti per il controllo del bilancio dei liquidi e degli elettroliti","Gravidanza Vi è un numero limitato di dati (meno di 300 esiti di gravidanza) sulluso di octreotide in donne incinte e in circa un terzo dei casi, gli esiti della gravidanza non sono noti",Loctreotide non altera o altera in misura trascurabile la capacità di guidare veicoli o di usare macchinari,"Le reazioni avverse più frequenti segnalate durante il trattamento con octreotide comprendono disturbi gastrointestinali, disturbi a carico del sistema nervoso, disturbi epatobiliari e disturbi del metabolismo e nutrizionali.",È stato segnalato un numero limitato di casi di sovradosaggio accidentale con loctreotide negli adulti e nei bambini,Questo medicinale non deve essere miscelato con altri medicinali ad eccezione di quelli riportati nel paragrafo 6.6
